ಅಂಕ	ಅ ಂ ಕ |
ಕಾಯ್ಕಿಣಿ	ಕ ಾ ಯ ್ ಕ ಿ ಣ ಿ |
ಕಾರಂತ್	ಕ ಾ ರ ಂ ತ ್ |
ಕಾರಣ	ಕ ಾ ರ ಣ |
ಕಾರವಾರ	ಕ ಾ ರ ವ ಾ ರ |
ಕಾರು	ಕ ಾ ರ ು |
ಕಾರ್ಕಳ	ಕ ಾ ರ ್ ಕ ಳ |
ಕಾರ್ತೀಕ	ಕ ಾ ರ ್ ತ ೀ ಕ |
ಕಾರ್ನಾಡ್	ಕ ಾ ರ ್ ನ ಾ ಡ ್ |
ಕಾರ್ಮಿಕ	ಕ ಾ ರ ್ ಮ ಿ ಕ |
ಕಾರ್ಯ	ಕ ಾ ರ ್ ಯ |
ಕಾರ್ಯಕರ್ತ	ಕ ಾ ರ ್ ಯ ಕ ರ ್ ತ |
ಕಾರ್ಯಕ್ರಮ	ಕ ಾ ರ ್ ಯ ಕ ್ ರ ಮ |
ಕಾರ್ಯದರ್ಶಿ	ಕ ಾ ರ ್ ಯ ದ ರ ್ ಶ ಿ |
ಕಾರ್ಲ	ಕ ಾ ರ ್ ಲ |
ಕಾಲ	ಕ ಾ ಲ |
ಕಾಲದ	ಕ ಾ ಲ ದ |
ಕಾಲದಲ್ಲಿ	ಕ ಾ ಲ ದ ಲ ್ ಲ ಿ |
ಕಾಲದಿಂದಲೂ	ಕ ಾ ಲ ದ ಿ ಂ ದ ಲ ೂ |
ಕಾಲಾಹಾಂಡಿ	ಕ ಾ ಲ ಾ ಹ ಾ ಂ ಡ ಿ |
ಕಾಲಿ	ಕ ಾ ಲ ಿ |
ಕಾಲಿಕಟ್	ಕ ಾ ಲ ಿ ಕ ಟ ್ |
ಕಾಲು	ಕ ಾ ಲ ು |
ಕಾಲುವೆ	ಕ ಾ ಲ ು ವ ೆ |
ಕಾಲೂ	ಕ ಾ ಲ ೂ |
ಕಾಲೇಜಿನವರೇ	ಕ ಾ ಲ ೇ ಜ ಿ ನ ವ ರ ೇ |
ಕಾಲೇಜಿನಿಂದ	ಕ ಾ ಲ ೇ ಜ ಿ ನ ಿ ಂ ದ |
ಕಾಲೇಜು	ಕ ಾ ಲ ೇ ಜ ು |
ಕಾಳು	ಕ ಾ ಳ ು |
ಕಾಳುಗಳನ್ನು	ಕ ಾ ಳ ು ಗ ಳ ನ ್ ನ ು |
ಕಾಳೇನಹಳ್ಳಿ	ಕ ಾ ಳ ೇ ನ ಹ ಳ ್ ಳ ಿ |
ಕಾವೇರಿ	ಕ ಾ ವ ೇ ರ ಿ |
ಕಾವ್ಯ	ಕ ಾ ವ ್ ಯ |
ಕಾಶಿನಾಥ್	ಕ ಾ ಶ ಿ ನ ಾ ಥ ್ |
ಕಾಸರವಳ್ಳಿ	ಕ ಾ ಸ ರ ವ ಳ ್ ಳ ಿ |
ಕಿಂಗ್	ಕ ಿ ಂ ಗ ್ |
ಕಿತ್ತಳೆ	ಕ ಿ ತ ್ ತ ಳ ೆ |
ಕಿತ್ತು	ಕ ಿ ತ ್ ತ ು |
ಕಿತ್ತೂರು	ಕ ಿ ತ ್ ತ ೂ ರ ು |
ಕಿರಣ್	ಕ ಿ ರ ಣ ್ |
ಕಿರಿಯ	ಕ ಿ ರ ಿ ಯ |
ಕಿರ್ಮಾನಿ	ಕ ಿ ರ ್ ಮ ಾ ನ ಿ |
ಕಿವಿ	ಕ ಿ ವ ಿ |
ಕಿವಿಗೆ	ಕ ಿ ವ ಿ ಗ ೆ |
ಕಿಶೋರ	ಕ ಿ ಶ ೋ ರ |
ಕೀರ್ತಿ	ಕ ೀ ರ ್ ತ ಿ |
ಕೀಲು	ಕ ೀ ಲ ು |
ಕೀಳು	ಕ ೀ ಳ ು |
ಕುಂ	ಕ ು ಂ |
ಕುಂತೂರು	ಕ ು ಂ ತ ೂ ರ ು |
ಕುಂದಗಿ	ಕ ು ಂ ದ ಗ ಿ |
ಕುಂದಗೋಳ್	ಕ ು ಂ ದ ಗ ೋ ಳ ್ |
ಕುಂದರಗಿ	ಕ ು ಂ ದ ರ ಗ ಿ |
ಕುಂದಾಪುರ	ಕ ು ಂ ದ ಾ ಪ ು ರ |
ಕುಂಬ್ಳೆ	ಕ ು ಂ ಬ ್ ಳ ೆ |
ಕುಂಭ	ಕ ು ಂ ಭ |
ಕುಕ್ಕೆ	ಕ ು ಕ ್ ಕ ೆ |
ಕುಚೆರಾ	ಕ ು ಚ ೆ ರ ಾ |
ಕುಟುಂಬ	ಕ ು ಟ ು ಂ ಬ |
ಕುಡಿ	ಕ ು ಡ ಿ |
ಕುಡಿಯಬೇಡ	ಕ ು ಡ ಿ ಯ ಬ ೇ ಡ |
ಕುಡಿಯಿರಿ	ಕ ು ಡ ಿ ಯ ಿ ರ ಿ |
ಕುಡಿಯುವುದರಿಂದ	ಕ ು ಡ ಿ ಯ ು ವ ು ದ ರ ಿ ಂ ದ |
ಕುತೂಹಲ	ಕ ು ತ ೂ ಹ ಲ |
ಕುದುರೆ	ಕ ು ದ ು ರ ೆ |
ಕುಮಾರ	ಕ ು ಮ ಾ ರ |
ಕುಮಾರ್	ಕ ು ಮ ಾ ರ ್ |
ಕುಮ್ಟಾ	ಕ ು ಮ ್ ಟ ಾ |
ಕುರಿತ	ಕ ು ರ ಿ ತ |
ಕುರುಕ್ಷೇತ್ರ	ಕ ು ರ ು ಕ ್ ಷ ೇ ತ ್ ರ |
ಕುರುಡ	ಕ ು ರ ು ಡ |
ಕುರುಡನಂತೆ	ಕ ು ರ ು ಡ ನ ಂ ತ ೆ |
ಕುರ್ವಿಲ್ಲ	ಕ ು ರ ್ ವ ಿ ಲ ್ ಲ |
ಕುರ್ಸಿಯಾಗ್	ಕ ು ರ ್ ಸ ಿ ಯ ಾ ಗ ್ |
ಕುಲಕರ್ಣಿ	ಕ ು ಲ ಕ ರ ್ ಣ ಿ |
ಕುಲ್ಲು	ಕ ು ಲ ್ ಲ ು |
ಕುಳಿತ	ಕ ು ಳ ಿ ತ |
ಕುಳಿತು	ಕ ು ಳ ಿ ತ ು |
ಕುಳಿತುಕೊ	ಕ ು ಳ ಿ ತ ು ಕ ೊ |
ಕುಳಿತುಕೊಳ್ಳಿ	ಕ ು ಳ ಿ ತ ು ಕ ೊ ಳ ್ ಳ ಿ |
ಕುವೆಂಪು	ಕ ು ವ ೆ ಂ ಪ ು |
ಕುಷ್ಟಗಿ	ಕ ು ಷ ್ ಟ ಗ ಿ |
ಕೂಗು	ಕ ೂ ಗ ು |
ಕೂಚ್	ಕ ೂ ಚ ್ |
ಕೂಟ	ಕ ೂ ಟ |
ಕೂಡ	ಕ ೂ ಡ |
ಕೂಡಲೇ	ಕ ೂ ಡ ಲ ೇ |
ಕೂಡಿ	ಕ ೂ ಡ ಿ |
ಕೂದಲು	ಕ ೂ ದ ಲ ು |
ಕೂರು	ಕ ೂ ರ ು |
ಕೂರ್ಗ್	ಕ ೂ ರ ್ ಗ ್ |
ಕೃತಿ	ಕ ೃ ತ ಿ |
ಕೃಷಿ	ಕ ೃ ಷ ಿ |
ಕೃಷ್ಣ	ಕ ೃ ಷ ್ ಣ |
ಕೃಷ್ಣಂ	ಕ ೃ ಷ ್ ಣ ಂ |
ಕೃಷ್ಣದೇವರಾಯ	ಕ ೃ ಷ ್ ಣ ದ ೇ ವ ರ ಾ ಯ |
ಕೃಷ್ಣರಾಜ	ಕ ೃ ಷ ್ ಣ ರ ಾ ಜ |
ಕೃಷ್ಣರಾಜಪೇಟೆ	ಕ ೃ ಷ ್ ಣ ರ ಾ ಜ ಪ ೇ ಟ ೆ |
ಕೃಷ್ಣರಾಯ	ಕ ೃ ಷ ್ ಣ ರ ಾ ಯ |
ಕೃಷ್ಣರಾಯರು	ಕ ೃ ಷ ್ ಣ ರ ಾ ಯ ರ ು |
ಕೆ	ಕ ೆ |
ಕೆಂಗಲ್	ಕ ೆ ಂ ಗ ಲ ್ |
ಕೆಂಪು	ಕ ೆ ಂ ಪ ು |
ಕೆಂಪುನಾರಾಯಣ	ಕ ೆ ಂ ಪ ು ನ ಾ ರ ಾ ಯ ಣ |
ಕೆಂಪೇಗೌಡ	ಕ ೆ ಂ ಪ ೇ ಗ ೌ ಡ |
ಕೆಆರ್ಎಸ್	ಕ ೆ ಆ ರ ್ ಎ ಸ ್ |
ಕೆಎಸ್ನರಸಿಂಹಸ್ವಾಮಿ	ಕ ೆ ಎ ಸ ್ ನ ರ ಸ ಿ ಂ ಹ ಸ ್ ವ ಾ ಮ ಿ |
ಕೆಕರುಣಾನಿಧಿ	ಕ ೆ ಕ ರ ು ಣ ಾ ನ ಿ ಧ ಿ |
ಕೆಟ್ಟ	ಕ ೆ ಟ ್ ಟ |
ಕೆನ್ನೆ	ಕ ೆ ನ ್ ನ ೆ |
ಕೆಮ್ಮು	ಕ ೆ ಮ ್ ಮ ು |
ಕೆರಗೋಡು	ಕ ೆ ರ ಗ ೋ ಡ ು |
ಕೆರೆ	ಕ ೆ ರ ೆ |
ಕೆಲವರು	ಕ ೆ ಲ ವ ರ ು |
ಕೆಲಸ	ಕ ೆ ಲ ಸ |
ಕೆಲಸಕ್ಕೆ	ಕ ೆ ಲ ಸ ಕ ್ ಕ ೆ |
ಕೆಳಗಿನ	ಕ ೆ ಳ ಗ ಿ ನ |
ಕೆಳಗೆ	ಕ ೆ ಳ ಗ ೆ |
ಕೇಂದ್ರ	ಕ ೇ ಂ ದ ್ ರ |
ಕೇದಾರನಾಥ್	ಕ ೇ ದ ಾ ರ ನ ಾ ಥ ್ |
ಕೇರಿ	ಕ ೇ ರ ಿ |
ಕೇಳಬೇಡ	ಕ ೇ ಳ ಬ ೇ ಡ |
ಕೇಳಲು	ಕ ೇ ಳ ಲ ು |
ಕೇಳಿ	ಕ ೇ ಳ ಿ |
ಕೇಳಿಸಿಕೊ	ಕ ೇ ಳ ಿ ಸ ಿ ಕ ೊ |
ಕೇಳಿಸಿಕೊಳ್ಳಬೇಡ	ಕ ೇ ಳ ಿ ಸ ಿ ಕ ೊ ಳ ್ ಳ ಬ ೇ ಡ |
ಕೇಳಿಸಿಕೊಳ್ಳಿರಿ	ಕ ೇ ಳ ಿ ಸ ಿ ಕ ೊ ಳ ್ ಳ ಿ ರ ಿ |
ಕೇಳು	ಕ ೇ ಳ ು |
ಕೇವಲ	ಕ ೇ ವ ಲ |
ಕೇಶಿರಾಜ	ಕ ೇ ಶ ಿ ರ ಾ ಜ |
ಕೇಸರಿ	ಕ ೇ ಸ ರ ಿ |
ಕೈ	ಕ ೈ |
ಕೈಗಾರಿಕೆ	ಕ ೈ ಗ ಾ ರ ಿ ಕ ೆ |
ಕೈಗೊಂಡ	ಕ ೈ ಗ ೊ ಂ ಡ |
ಕೈಗೊಳ್ಳು	ಕ ೈ ಗ ೊ ಳ ್ ಳ ು |
ಕೈಲಿಸ್	ಕ ೈ ಲ ಿ ಸ ್ |
ಕೊಂಕಣ	ಕ ೊ ಂ ಕ ಣ |
ಕೊಂಚ	ಕ ೊ ಂ ಚ |
ಕೊಂಡ	ಕ ೊ ಂ ಡ |
ಕೊಂಡು	ಕ ೊ ಂ ಡ ು |
ಕೊಂಡೇಕರ್	ಕ ೊ ಂ ಡ ೇ ಕ ರ ್ |
ಕೊಚ್ಚಿ	ಕ ೊ ಚ ್ ಚ ಿ |
ಕೊಚ್ಚಿಕೊಳ್ಳುತ್ತಾರೆ	ಕ ೊ ಚ ್ ಚ ಿ ಕ ೊ ಳ ್ ಳ ು ತ ್ ತ ಾ ರ ೆ |
ಕೊಚ್ಚಿನ್	ಕ ೊ ಚ ್ ಚ ಿ ನ ್ |
ಕೊಟ್ಟ	ಕ ೊ ಟ ್ ಟ |
ಕೊಟ್ಟಾಯಮ್	ಕ ೊ ಟ ್ ಟ ಾ ಯ ಮ ್ |
ಕೊಟ್ಟಿದ್ದಾರೆ	ಕ ೊ ಟ ್ ಟ ಿ ದ ್ ದ ಾ ರ ೆ |
ಕೊಟ್ಟಿರುವ	ಕ ೊ ಟ ್ ಟ ಿ ರ ು ವ |
ಕೊಡ	ಕ ೊ ಡ |
ಕೊಡಗು	ಕ ೊ ಡ ಗ ು |
ಕೊಡದಿದ್ದರೆ	ಕ ೊ ಡ ದ ಿ ದ ್ ದ ರ ೆ |
ಕೊಡಬೇಡ	ಕ ೊ ಡ ಬ ೇ ಡ |
ಕೊಡಿ	ಕ ೊ ಡ ಿ |
ಕೊಡು	ಕ ೊ ಡ ು |
ಕೊಡುಗೆ	ಕ ೊ ಡ ು ಗ ೆ |
ಕೊಡ್ಲಿಪೇಟೆ	ಕ ೊ ಡ ್ ಲ ಿ ಪ ೇ ಟ ೆ |
ಕೊನೆ	ಕ ೊ ನ ೆ |
ಕೊಪ್ಪ	ಕ ೊ ಪ ್ ಪ |
ಕೊಪ್ಪಳ	ಕ ೊ ಪ ್ ಪ ಳ |
ಕೊಬ್ಬು	ಕ ೊ ಬ ್ ಬ ು |
ಕೊಯಂಬತ್ತೂರ್	ಕ ೊ ಯ ಂ ಬ ತ ್ ತ ೂ ರ ್ |
ಕೊಯಿರಾಲ	ಕ ೊ ಯ ಿ ರ ಾ ಲ |
ಕೊಯಿರಾಲಾ	ಕ ೊ ಯ ಿ ರ ಾ ಲ ಾ |
ಕೊರಟಗೆರೆ	ಕ ೊ ರ ಟ ಗ ೆ ರ ೆ |
ಕೊರತೆ	ಕ ೊ ರ ತ ೆ |
ಕೊರಬಾ	ಕ ೊ ರ ಬ ಾ |
ಕೊರಳು	ಕ ೊ ರ ಳ ು |
ಕೊಲೆ	ಕ ೊ ಲ ೆ |
ಕೊಲ್ಕತಾಕೊಲ್ಕತ್ತಾ	ಕ ೊ ಲ ್ ಕ ತ ಾ ಕ ೊ ಲ ್ ಕ ತ ್ ತ ಾ |
ಕೊಲ್ಲು	ಕ ೊ ಲ ್ ಲ ು |
ಕೊಲ್ವೇಲ್	ಕ ೊ ಲ ್ ವ ೇ ಲ ್ |
ಕೊಲ್ಹಾಪುರ್	ಕ ೊ ಲ ್ ಹ ಾ ಪ ು ರ ್ |
ಕೊಳೆ	ಕ ೊ ಳ ೆ |
ಕೊಳ್ಳು	ಕ ೊ ಳ ್ ಳ ು |
ಕೊಳ್ಳೆಗಾಲ	ಕ ೊ ಳ ್ ಳ ೆ ಗ ಾ ಲ |
ಕೊಹಿಮಾ	ಕ ೊ ಹ ಿ ಮ ಾ |
ಕೋಚರಿಲ್	ಕ ೋ ಚ ರ ಿ ಲ ್ |
ಕೋಟಾ	ಕ ೋ ಟ ಾ |
ಕೋಟಿ	ಕ ೋ ಟ ಿ |
ಕೋಟೆ	ಕ ೋ ಟ ೆ |
ಕೋಟ್	ಕ ೋ ಟ ್ |
ಕೋಣೆ	ಕ ೋ ಣ ೆ |
ಕೋಣೆಯಲ್ಲಿ	ಕ ೋ ಣ ೆ ಯ ಲ ್ ಲ ಿ |
ಕೋತಿ	ಕ ೋ ತ ಿ |
ಕೋತಿಯ	ಕ ೋ ತ ಿ ಯ |
ಕೋದರಾಮ	ಕ ೋ ದ ರ ಾ ಮ |
ಕೋಪ	ಕ ೋ ಪ |
ಕೋಯಿರಾಲಾ	ಕ ೋ ಯ ಿ ರ ಾ ಲ ಾ |
ಕೋಯಿಲ್	ಕ ೋ ಯ ಿ ಲ ್ |
ಕೋರ್ಟು	ಕ ೋ ರ ್ ಟ ು |
ಕೋಳ್ಳೆಗಾಲ	ಕ ೋ ಳ ್ ಳ ೆ ಗ ಾ ಲ |
ಕೌಶಿಕ್	ಕ ೌ ಶ ಿ ಕ ್ |
ಕ್ಯಾಪ್ರಿಯೋ	ಕ ್ ಯ ಾ ಪ ್ ರ ಿ ಯ ೋ |
ಕ್ಯಾಮರ	ಕ ್ ಯ ಾ ಮ ರ |
ಕ್ಯಾಮರಾಗಳನ್ನು	ಕ ್ ಯ ಾ ಮ ರ ಾ ಗ ಳ ನ ್ ನ ು |
ಕ್ರಮ	ಕ ್ ರ ಮ |
ಕ್ರಮಾಂಕ	ಕ ್ ರ ಮ ಾ ಂ ಕ |
ಕ್ರಮೇಣ	ಕ ್ ರ ಮ ೇ ಣ |
ಕ್ರಾಂತಿ	ಕ ್ ರ ಾ ಂ ತ ಿ |
ಕ್ರಿಯೆ	ಕ ್ ರ ಿ ಯ ೆ |
ಕ್ರಿಸ್ಟನ್	ಕ ್ ರ ಿ ಸ ್ ಟ ನ ್ |
ಕ್ರೀಡೆ	ಕ ್ ರ ೀ ಡ ೆ |
ಕ್ರೋಂನ್ಜೇ	ಕ ್ ರ ೋ ಂ ನ ್ ಜ ೇ |
ಕ್ಲಿಷ್ಟ	ಕ ್ ಲ ಿ ಷ ್ ಟ |
ಕ್ಲೈವ್	ಕ ್ ಲ ೈ ವ ್ |
ಕ್ಷಣ	ಕ ್ ಷ ಣ |
ಕ್ಷೀಣಿಸುತ್ತದೆ	ಕ ್ ಷ ೀ ಣ ಿ ಸ ು ತ ್ ತ ದ ೆ |
ಕ್ಷೇತ್ರ	ಕ ್ ಷ ೇ ತ ್ ರ |
ಖಂಡಿತ	ಖ ಂ ಡ ಿ ತ |
ಖಚಿತ	ಖ ಚ ಿ ತ |
ಖಜಾನೆ	ಖ ಜ ಾ ನ ೆ |
ಖನ್ನಾ	ಖ ನ ್ ನ ಾ |
ಖಮ್ಮಮ್	ಖ ಮ ್ ಮ ಮ ್ |
ಖರೀದಿ	ಖ ರ ೀ ದ ಿ |
ಖರೀಮ್	ಖ ರ ೀ ಮ ್ |
ಖರ್ಗೆ	ಖ ರ ್ ಗ ೆ |
ಖರ್ಚು	ಖ ರ ್ ಚ ು |
ಖಾಂಭಟ್ಟಾ	ಖ ಾ ಂ ಭ ಟ ್ ಟ ಾ |
ಖಾತೆ	ಖ ಾ ತ ೆ |
ಖಾದರ್	ಖ ಾ ದ ರ ್ |
ಖಾಧೀರ್	ಖ ಾ ಧ ೀ ರ ್ |
ಖಾನ್	ಖ ಾ ನ ್ |
ಖಾಲಿ	ಖ ಾ ಲ ಿ |
ಖಾಲಿದ್	ಖ ಾ ಲ ಿ ದ ್ |
ಖಾಸಗಿ	ಖ ಾ ಸ ಗ ಿ |
ಖೀರಿ	ಖ ೀ ರ ಿ |
ಖುರ್ಜಾ	ಖ ು ರ ್ ಜ ಾ |
ಖೇರ್	ಖ ೇ ರ ್ |
ಖೋಡಾ	ಖ ೋ ಡ ಾ |
ಖ್ವಾಜಾ	ಖ ್ ವ ಾ ಜ ಾ |
ಗಂಗಾನಗರ್	ಗ ಂ ಗ ಾ ನ ಗ ರ ್ |
ಗಂಗೂಬಾಯಿ	ಗ ಂ ಗ ೂ ಬ ಾ ಯ ಿ |
ಗಂಗೂಲಿ	ಗ ಂ ಗ ೂ ಲ ಿ |
ಗಂಗ್	ಗ ಂ ಗ ್ |
ಗಂಜ್	ಗ ಂ ಜ ್ |
ಗಂಟಲು	ಗ ಂ ಟ ಲ ು |
ಗಂಟು	ಗ ಂ ಟ ು |
ಗಂಟೆ	ಗ ಂ ಟ ೆ |
ಗಂಟೆಗೆ	ಗ ಂ ಟ ೆ ಗ ೆ |
ಗಂಡ	ಗ ಂ ಡ |
ಗಂಡು	ಗ ಂ ಡ ು |
ಗಂಧರ್ವ	ಗ ಂ ಧ ರ ್ ವ |
ಗಂಭೀರ	ಗ ಂ ಭ ೀ ರ |
ಗಗನಕ್ಕೇರಿದೆ	ಗ ಗ ನ ಕ ್ ಕ ೇ ರ ಿ ದ ೆ |
ಗಗನ್	ಗ ಗ ನ ್ |
ಗಟ್ಟಿ	ಗ ಟ ್ ಟ ಿ |
ಗಡಿ	ಗ ಡ ಿ |
ಗಢ್	ಗ ಢ ್ |
ಗಣಪತ್	ಗ ಣ ಪ ತ ್ |
ಗಣೇಶ್	ಗ ಣ ೇ ಶ ್ |
ಗತಿ	ಗ ತ ಿ |
ಗದಗ	ಗ ದ ಗ |
ಗದ್ದ	ಗ ದ ್ ದ |
ಗದ್ದೆ	ಗ ದ ್ ದ ೆ |
ಗದ್ದೆಗಳಿಗೆ	ಗ ದ ್ ದ ೆ ಗ ಳ ಿ ಗ ೆ |
ಗದ್ದೆಯಲ್ಲಿ	ಗ ದ ್ ದ ೆ ಯ ಲ ್ ಲ ಿ |
ಗದ್ಯ	ಗ ದ ್ ಯ |
ಗಮನ	ಗ ಮ ನ |
ಗಯಾ	ಗ ಯ ಾ |
ಗರಿಷ್ಠ	ಗ ರ ಿ ಷ ್ ಠ |
ಗಲ್ಲ	ಗ ಲ ್ ಲ |
ಗಳಿಕೆ	ಗ ಳ ಿ ಕ ೆ |
ಗಳಿಸು	ಗ ಳ ಿ ಸ ು |
ಗವಾಸ್ಕರ್	ಗ ವ ಾ ಸ ್ ಕ ರ ್ |
ಗಾಂಧಿ	ಗ ಾ ಂ ಧ ಿ |
ಗಾಂಧಿನಗರ	ಗ ಾ ಂ ಧ ಿ ನ ಗ ರ |
ಗಾಂಧೀಜಿಯವರ	ಗ ಾ ಂ ಧ ೀ ಜ ಿ ಯ ವ ರ |
ಗಾಂವ್	ಗ ಾ ಂ ವ ್ |
ಗಾಝಿಪುರ್	ಗ ಾ ಝ ಿ ಪ ು ರ ್ |
ಗಾಡಿ	ಗ ಾ ಡ ಿ |
ಗಾಡಿಯನ್ನು	ಗ ಾ ಡ ಿ ಯ ನ ್ ನ ು |
ಗಾಢ	ಗ ಾ ಢ |
ಗಾದೆ	ಗ ಾ ದ ೆ |
ಗಾಮಾ	ಗ ಾ ಮ ಾ |
ಗಾಯ	ಗ ಾ ಯ |
ಗಾಯಕ್ವಾಡ್	ಗ ಾ ಯ ಕ ್ ವ ಾ ಡ ್ |
ಗಾಳಿ	ಗ ಾ ಳ ಿ |
ಗಾವ್	ಗ ಾ ವ ್ |
ಗಿಡ	ಗ ಿ ಡ |
ಗಿಡದ	ಗ ಿ ಡ ದ |
ಗಿಡವು	ಗ ಿ ಡ ವ ು |
ಗಿಪ್ಸ್	ಗ ಿ ಪ ್ ಸ ್ |
ಗಿರಿ	ಗ ಿ ರ ಿ |
ಗಿರಿಜಾ	ಗ ಿ ರ ಿ ಜ ಾ |
ಗಿರೀಡಿಹ್	ಗ ಿ ರ ೀ ಡ ಿ ಹ ್ |
ಗಿರೀಶ್	ಗ ಿ ರ ೀ ಶ ್ |
ಗಿಲ್ಕ್ರಿಸ್ಟ್	ಗ ಿ ಲ ್ ಕ ್ ರ ಿ ಸ ್ ಟ ್ |
ಗೀತೆ	ಗ ೀ ತ ೆ |
ಗುಂಟೂರ್	ಗ ು ಂ ಟ ೂ ರ ್ |
ಗುಂಡು	ಗ ು ಂ ಡ ು |
ಗುಂಡೂರಾವ್	ಗ ು ಂ ಡ ೂ ರ ಾ ವ ್ |
ಗುಂಡ್ಲುಪೇಟೆ	ಗ ು ಂ ಡ ್ ಲ ು ಪ ೇ ಟ ೆ |
ಗುಂಪು	ಗ ು ಂ ಪ ು |
ಗುಜ್ರಾಲ್	ಗ ು ಜ ್ ರ ಾ ಲ ್ |
ಗುಡಿ	ಗ ು ಡ ಿ |
ಗುಡಿಬಂಡ	ಗ ು ಡ ಿ ಬ ಂ ಡ |
ಗುಣ	ಗ ು ಣ |
ಗುಣಗಳನ್ನು	ಗ ು ಣ ಗ ಳ ನ ್ ನ ು |
ಗುಬ್ಬಚ್ಚಿ	ಗ ು ಬ ್ ಬ ಚ ್ ಚ ಿ |
ಗುಬ್ಬಚ್ಚಿಗಳ	ಗ ು ಬ ್ ಬ ಚ ್ ಚ ಿ ಗ ಳ |
ಗುಬ್ಬಿ	ಗ ು ಬ ್ ಬ ಿ |
ಗುಮ್ಲಾ	ಗ ು ಮ ್ ಲ ಾ |
ಗುರಿ	ಗ ು ರ ಿ |
ಗುರು	ಗ ು ರ ು |
ಗುರುತಿಸು	ಗ ು ರ ು ತ ಿ ಸ ು |
ಗುರುತು	ಗ ು ರ ು ತ ು |
ಗುರುದತ್	ಗ ು ರ ು ದ ತ ್ |
ಗುರುದಯಾಲ್	ಗ ು ರ ು ದ ಯ ಾ ಲ ್ |
ಗುರುದಾಸ್	ಗ ು ರ ು ದ ಾ ಸ ್ |
ಗುರುವಾರ	ಗ ು ರ ು ವ ಾ ರ |
ಗುರ್	ಗ ು ರ ್ |
ಗುಲಬರ್ಗ	ಗ ು ಲ ಬ ರ ್ ಗ |
ಗುಲಾಬಿ	ಗ ು ಲ ಾ ಬ ಿ |
ಗುಲಾಮ್	ಗ ು ಲ ಾ ಮ ್ |
ಗುಲ್ಷನ್	ಗ ು ಲ ್ ಷ ನ ್ |
ಗುಹೆ	ಗ ು ಹ ೆ |
ಗೂಚಾ	ಗ ೂ ಚ ಾ |
ಗೂಟ	ಗ ೂ ಟ |
ಗೂಬೆ	ಗ ೂ ಬ ೆ |
ಗೂಬೆಗೆ	ಗ ೂ ಬ ೆ ಗ ೆ |
ಗೂಳಿ	ಗ ೂ ಳ ಿ |
ಗೆಜ್ಜಲಗೆರೆ	ಗ ೆ ಜ ್ ಜ ಲ ಗ ೆ ರ ೆ |
ಗೆದ್ದೆ	ಗ ೆ ದ ್ ದ ೆ |
ಗೆಲುವು	ಗ ೆ ಲ ು ವ ು |
ಗೆಲ್ಲು	ಗ ೆ ಲ ್ ಲ ು |
ಗೆಲ್ಲುತೇನೆ	ಗ ೆ ಲ ್ ಲ ು ತ ೇ ನ ೆ |
ಗೆಲ್ಲುವುದು	ಗ ೆ ಲ ್ ಲ ು ವ ು ದ ು |
ಗೆಳೆಯ	ಗ ೆ ಳ ೆ ಯ |
ಗೇರಿ	ಗ ೇ ರ ಿ |
ಗೊಂಡಾ	ಗ ೊ ಂ ಡ ಾ |
ಗೊಂದಲ	ಗ ೊ ಂ ದ ಲ |
ಗೊಂಬೆ	ಗ ೊ ಂ ಬ ೆ |
ಗೊಡ್ಡ	ಗ ೊ ಡ ್ ಡ |
ಗೊತ್ತಿಲ್ಲ	ಗ ೊ ತ ್ ತ ಿ ಲ ್ ಲ |
ಗೊತ್ತು	ಗ ೊ ತ ್ ತ ು |
ಗೊಪಾಲ್	ಗ ೊ ಪ ಾ ಲ ್ |
ಗೊಬ್ಬರ	ಗ ೊ ಬ ್ ಬ ರ |
ಗೊಬ್ಬರವಾಗಿ	ಗ ೊ ಬ ್ ಬ ರ ವ ಾ ಗ ಿ |
ಗೊರಕ್	ಗ ೊ ರ ಕ ್ |
ಗೊಲ್	ಗ ೊ ಲ ್ |
ಗೋಕಕ್	ಗ ೋ ಕ ಕ ್ |
ಗೋಕರ್ಣ	ಗ ೋ ಕ ರ ್ ಣ |
ಗೋಕಾಕ್	ಗ ೋ ಕ ಾ ಕ ್ |
ಗೋಡೆ	ಗ ೋ ಡ ೆ |
ಗೋಧಿ	ಗ ೋ ಧ ಿ |
ಗೋಧಿಯನ್ನು	ಗ ೋ ಧ ಿ ಯ ನ ್ ನ ು |
ಗೋಪಾಲ	ಗ ೋ ಪ ಾ ಲ |
ಗೋಯಲ್	ಗ ೋ ಯ ಲ ್ |
ಗೋರೆ	ಗ ೋ ರ ೆ |
ಗೋಲು	ಗ ೋ ಲ ು |
ಗೋವರ್	ಗ ೋ ವ ರ ್ |
ಗೋವಾ	ಗ ೋ ವ ಾ |
ಗೋವಿಂದ	ಗ ೋ ವ ಿ ಂ ದ |
ಗೌಂಡಮಣಿ	ಗ ೌ ಂ ಡ ಮ ಣ ಿ |
ಗೌರವ	ಗ ೌ ರ ವ |
ಗೌರವ್	ಗ ೌ ರ ವ ್ |
ಗೌರಿಬಿದನೂರು	ಗ ೌ ರ ಿ ಬ ಿ ದ ನ ೂ ರ ು |
ಗೌಹಾತಿ	ಗ ೌ ಹ ಾ ತ ಿ |
ಗ್ರಂಥ	ಗ ್ ರ ಂ ಥ |
